year,district,waterborne_cases
2020,Kollam,7976
2020,Pathanamthitta,7470
2020,Idukki,6543
2020,Kottayam,8911
2020,Alappuzha,9823
2020,Ernakulam,23844
2020,Thrissur,23531
2020,Palakkad,23333
2020,Malappuram,48065
2020,Wayanad,10439
2020,Kannur,23193
2022,Thiruvananthapuram,43437
2022,Kollam,18797
2022,Pathanamthitta,8523
2022,Idukki,11261
2022,Kottayam,18013
2022,Alappuzha,20026
2022,Ernakulam,46588
2022,Thrissur,37915
2022,Palakkad,39024
2022,Malappuram,88532
2022,Wayanad,19946
2022,Kannur,53520
