year,district,rainfall_mm,temperature,humidity,flood,waterborne_cases
2013,Thiruvananthapuram,160,27.5,82,0,41725
2013,Kollam,160,27.5,82,0,28457
2013,Pathanamthitta,160,27.5,82,0,8000
2013,Alappuzha,160,27.5,82,0,23819
2013,Kottayam,160,27.5,82,0,19267
2013,Idukki,192,26.1,82,0,12594
2013,Ernakulam,160,27.5,82,0,41644
2013,Thrissur,160,27.5,82,0,38058
2013,Palakkad,128,30.3,82,0,50037
2013,Malappuram,160,27.5,82,0,85893
2013,Kozhikode,160,27.5,82,0,67178
2013,Wayanad,192,26.1,82,0,11359
2013,Kannur,160,27.5,82,0,34648
2013,Kasaragod,160,27.5,82,0,14612
2014,Thiruvananthapuram,175,27.8,83,0,43881
2014,Kollam,175,27.8,83,0,29061
2014,Pathanamthitta,175,27.8,83,0,8047
2014,Alappuzha,175,27.8,83,0,26625
2014,Kottayam,175,27.8,83,0,23380
2014,Idukki,210,26.4,83,0,13787
2014,Ernakulam,175,27.8,83,0,41358
2014,Thrissur,175,27.8,83,0,39056
2014,Palakkad,140,30.6,83,0,54414
2014,Malappuram,175,27.8,83,0,96384
2014,Kozhikode,175,27.8,83,0,68317
2014,Wayanad,210,26.4,83,0,11195
2014,Kannur,175,27.8,83,0,40123
2014,Kasaragod,175,27.8,83,0,18005
2015,Thiruvananthapuram,120,28.5,78,0,50451
2015,Kollam,120,28.5,78,0,33349
2015,Pathanamthitta,120,28.5,78,0,10056
2015,Alappuzha,120,28.5,78,0,29468
2015,Kottayam,120,28.5,78,0,25746
2015,Idukki,144,27.1,78,0,14099
2015,Ernakulam,120,28.5,78,0,45692
2015,Thrissur,120,28.5,78,0,39567
2015,Palakkad,96,31.4,78,0,59295
2015,Malappuram,120,28.5,78,0,89054
2015,Kozhikode,120,28.5,78,0,73317
2015,Wayanad,144,27.1,78,0,12753
2015,Kannur,120,28.5,78,0,44940
2015,Kasaragod,120,28.5,78,0,18879
2016,Thiruvananthapuram,100,29.2,72,0,52015
2016,Kollam,100,29.2,72,0,38282
2016,Pathanamthitta,100,29.2,72,0,9564
2016,Alappuzha,100,29.2,72,0,34246
2016,Kottayam,100,29.2,72,0,28166
2016,Idukki,120,27.7,72,0,14513
2016,Ernakulam,100,29.2,72,0,54789
2016,Thrissur,100,29.2,72,0,42711
2016,Palakkad,80,32.1,72,0,62123
2016,Malappuram,100,29.2,72,0,113158
2016,Kozhikode,100,29.2,72,0,93835
2016,Wayanad,120,27.7,72,0,14427
2016,Kannur,100,29.2,72,0,46671
2016,Kasaragod,100,29.2,72,0,20571
2017,Thiruvananthapuram,155,28.0,80,0,55475
2017,Kollam,155,28.0,80,0,37257
2017,Pathanamthitta,155,28.0,80,0,9206
2017,Alappuzha,155,28.0,80,0,27159
2017,Kottayam,155,28.0,80,0,26547
2017,Idukki,186,26.6,80,0,13198
2017,Ernakulam,155,28.0,80,0,46033
2017,Thrissur,155,28.0,80,0,45820
2017,Palakkad,124,30.8,80,0,62220
2017,Malappuram,155,28.0,80,0,96728
2017,Kozhikode,155,28.0,80,0,90226
2017,Wayanad,186,26.6,80,0,12473
2017,Kannur,155,28.0,80,0,45309
2017,Kasaragod,155,28.0,80,0,20871
2018,Thiruvananthapuram,310,27.0,88,0,73447
2018,Kollam,310,27.0,88,0,47434
2018,Pathanamthitta,310,27.0,88,0,12960
2018,Alappuzha,310,27.0,88,1,42480
2018,Kottayam,310,27.0,88,1,33411
2018,Idukki,372,25.6,88,1,19414
2018,Ernakulam,310,27.0,88,1,73541
2018,Thrissur,310,27.0,88,1,55482
2018,Palakkad,248,29.7,88,1,82900
2018,Malappuram,310,27.0,88,1,157877
2018,Kozhikode,310,27.0,88,1,121866
2018,Wayanad,372,25.6,88,1,18820
2018,Kannur,310,27.0,88,1,65847
2018,Kasaragod,310,27.0,88,1,26413
2019,Thiruvananthapuram,210,26.5,85,0,62310
2019,Kollam,210,26.5,85,0,43991
2019,Pathanamthitta,210,26.5,85,0,11859
2019,Alappuzha,210,26.5,85,1,32803
2019,Kottayam,210,26.5,85,1,28286
2019,Idukki,252,25.2,85,1,16975
2019,Ernakulam,210,26.5,85,1,57135
2019,Thrissur,210,26.5,85,1,48764
2019,Palakkad,168,29.2,85,1,83326
2019,Malappuram,210,26.5,85,1,127910
2019,Kozhikode,210,26.5,85,1,110805
2019,Wayanad,252,25.2,85,1,16161
2019,Kannur,210,26.5,85,1,55175
2019,Kasaragod,210,26.5,85,1,25502
2020,Thiruvananthapuram,195,27.5,84,0,43836
2020,Kollam,195,27.5,84,0,7976
2020,Pathanamthitta,195,27.5,84,0,7470
2020,Alappuzha,195,27.5,84,1,9823
2020,Kottayam,195,27.5,84,1,8911
2020,Idukki,234,26.1,84,1,6543
2020,Ernakulam,195,27.5,84,1,23844
2020,Thrissur,195,27.5,84,1,23531
2020,Palakkad,156,30.3,84,1,23333
2020,Malappuram,195,27.5,84,1,48065
2020,Kozhikode,195,27.5,84,1,67516
2020,Wayanad,234,26.1,84,1,10439
2020,Kannur,195,27.5,84,1,23193
2020,Kasaragod,195,27.5,84,1,14059
2022,Thiruvananthapuram,170,27.5,83,0,43437
2022,Kollam,170,27.5,83,0,18797
2022,Pathanamthitta,170,27.5,83,0,8523
2022,Alappuzha,170,27.5,83,1,20026
2022,Kottayam,170,27.5,83,1,18013
2022,Idukki,204,26.1,83,1,11261
2022,Ernakulam,170,27.5,83,1,46588
2022,Thrissur,170,27.5,83,1,37915
2022,Palakkad,136,30.3,83,1,39024
2022,Malappuram,170,27.5,83,1,88532
2022,Kozhikode,170,27.5,83,1,78664
2022,Wayanad,204,26.1,83,1,19946
2022,Kannur,170,27.5,83,1,53520
2022,Kasaragod,170,27.5,83,1,17406
2023,Thiruvananthapuram,165,27.8,82,0,53953
2023,Kollam,165,27.8,82,0,35752
2023,Pathanamthitta,165,27.8,82,0,10223
2023,Alappuzha,165,27.8,82,0,27972
2023,Kottayam,165,27.8,82,0,24587
2023,Idukki,198,26.4,82,0,12996
2023,Ernakulam,165,27.8,82,0,47340
2023,Thrissur,165,27.8,82,0,37945
2023,Palakkad,132,30.6,82,0,55690
2023,Malappuram,165,27.8,82,0,90584
2023,Kozhikode,165,27.8,82,0,84846
2023,Wayanad,198,26.4,82,0,12406
2023,Kannur,165,27.8,82,0,38935
2023,Kasaragod,165,27.8,82,0,16387
