year,district,rainfall_mm,temperature,humidity,flood
2013,Thiruvananthapuram,160,27.5,82,0
2013,Kollam,160,27.5,82,0
2013,Pathanamthitta,160,27.5,82,0
2013,Alappuzha,160,27.5,82,0
2013,Kottayam,160,27.5,82,0
2013,Idukki,208,24.8,82,0
2013,Ernakulam,160,27.5,82,0
2013,Thrissur,160,27.5,82,0
2013,Palakkad,112,30.3,82,0
2013,Malappuram,160,27.5,82,0
2013,Kozhikode,160,27.5,82,0
2013,Wayanad,208,24.8,82,0
2013,Kannur,160,27.5,82,0
2013,Kasaragod,160,27.5,82,0
2014,Thiruvananthapuram,175,27.8,83,0
2014,Kollam,175,27.8,83,0
2014,Pathanamthitta,175,27.8,83,0
2014,Alappuzha,175,27.8,83,0
2014,Kottayam,175,27.8,83,0
2014,Idukki,227,25.0,83,0
2014,Ernakulam,175,27.8,83,0
2014,Thrissur,175,27.8,83,0
2014,Palakkad,122,30.6,83,0
2014,Malappuram,175,27.8,83,0
2014,Kozhikode,175,27.8,83,0
2014,Wayanad,227,25.0,83,0
2014,Kannur,175,27.8,83,0
2014,Kasaragod,175,27.8,83,0
2015,Thiruvananthapuram,120,28.5,78,0
2015,Kollam,120,28.5,78,0
2015,Pathanamthitta,120,28.5,78,0
2015,Alappuzha,120,28.5,78,0
2015,Kottayam,120,28.5,78,0
2015,Idukki,156,25.7,78,0
2015,Ernakulam,120,28.5,78,0
2015,Thrissur,120,28.5,78,0
2015,Palakkad,84,31.4,78,0
2015,Malappuram,120,28.5,78,0
2015,Kozhikode,120,28.5,78,0
2015,Wayanad,156,25.7,78,0
2015,Kannur,120,28.5,78,0
2015,Kasaragod,120,28.5,78,0
2016,Thiruvananthapuram,100,29.2,72,0
2016,Kollam,100,29.2,72,0
2016,Pathanamthitta,100,29.2,72,0
2016,Alappuzha,100,29.2,72,0
2016,Kottayam,100,29.2,72,0
2016,Idukki,130,26.3,72,0
2016,Ernakulam,100,29.2,72,0
2016,Thrissur,100,29.2,72,0
2016,Palakkad,70,32.1,72,0
2016,Malappuram,100,29.2,72,0
2016,Kozhikode,100,29.2,72,0
2016,Wayanad,130,26.3,72,0
2016,Kannur,100,29.2,72,0
2016,Kasaragod,100,29.2,72,0
2017,Thiruvananthapuram,155,28.0,80,0
2017,Kollam,155,28.0,80,0
2017,Pathanamthitta,155,28.0,80,0
2017,Alappuzha,155,28.0,80,0
2017,Kottayam,155,28.0,80,0
2017,Idukki,201,25.2,80,0
2017,Ernakulam,155,28.0,80,0
2017,Thrissur,155,28.0,80,0
2017,Palakkad,108,30.8,80,0
2017,Malappuram,155,28.0,80,0
2017,Kozhikode,155,28.0,80,0
2017,Wayanad,201,25.2,80,0
2017,Kannur,155,28.0,80,0
2017,Kasaragod,155,28.0,80,0
2018,Thiruvananthapuram,250,27.0,88,0
2018,Kollam,250,27.0,88,0
2018,Pathanamthitta,250,27.0,88,1
2018,Alappuzha,250,27.0,88,1
